"id_unidade";"unidade";"natureza_despesa";"ano";"valor"
"445";"CENTRO DE TECNOLOGIA";"SERV. PESSOA JURÍDICA";"18.0";"R$           288,00"
"205";"ESCOLA DE SAÚDE";"SERV. PESSOA FÍSICA";"18.0";"R$         4.513,50"
"30257";"CAPACITAÇÃO DE ESTUDANTES E PROFISSIONAIS DA ÁREA DA SAÚDE NOS SERVIÇOS PÚBLICOS E PRIVADOS DE NATAL E ESTADO DO RIO GRANDE DO NORTE PARA REALIZAÇÃO DO TESTE DO CORAÇÃOZINHO";"DIÁRIAS";"209.0";"R$             0,00"
"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA";"OUTRAS DESPESAS CORRENTES-APLICAÇÕES DIRETA";"2000.0";"R$         2.253,98"
"445";"CENTRO DE TECNOLOGIA";"OUTRAS DESPESAS CORRENTES-APLICAÇÕES DIRETA";"2000.0";"R$         2.000,00"
"338";"HUOL - SERVIÇO DE ABASTECIMENTO FARMACÊUTICO";"MATERIAL DE CONSUMO";"2000.0";"R$         9.192,50"
"2454";"HUOL - SERVIÇO DE CONTROLE PATRIMONIAL";"EQUIP. MATERIAL PERMANENTE";"2000.0";"R$           975,00"
"252";"NUCLEO DE PESQUISA EM ALIMENTOS E MEDICAMENTOS";"MATERIAL DE CONSUMO";"2000.0";"R$           166,00"
"251";"PROAE - COORDENADORIA DO SISTEMA DE RESTAURANTES UNIVERSITÁRIOS";"MATERIAL DE CONSUMO";"2000.0";"R$         1.033,32"
"1422";"PRÓ-REITORIA DE ADMINISTRAÇÃO (PROAD)";"AUX. FINANCEIRO ESTUDANTE";"2000.0";"R$         1.300,00"
"1458";"RESERVA TÉCNICA";"PASSAGENS";"2000.0";"R$           156,62"
"1457";"ACERVO BIBLIOGRÁFICO";"EQUIP. MATERIAL PERMANENTE";"2001.0";"R$       330.795,53"
"21";"BIBLIOTECA CENTRAL ZILA MAMEDE";"LOC. MÃO-DE-OBRA";"2001.0";"R$        47.452,83"
"21";"BIBLIOTECA CENTRAL ZILA MAMEDE";"SERV. PESSOA JURÍDICA";"2001.0";"R$        37.541,79"
"21";"BIBLIOTECA CENTRAL ZILA MAMEDE";"PASSAGENS";"2001.0";"R$         1.142,00"
"21";"BIBLIOTECA CENTRAL ZILA MAMEDE";"OBRIGAÇÕES CONTRIBUTIVAS";"2001.0";"R$           130,00"
"21";"BIBLIOTECA CENTRAL ZILA MAMEDE";"MATERIAL DE CONSUMO";"2001.0";"R$        13.994,55"
"440";"CENTRO DE BIOCIÊNCIAS";"SERV. PESSOA JURÍDICA";"2001.0";"R$         3.867,26"
"440";"CENTRO DE BIOCIÊNCIAS";"AUX. FINANCEIRO ESTUDANTE";"2001.0";"R$         3.180,00"
"440";"CENTRO DE BIOCIÊNCIAS";"LOC. MÃO-DE-OBRA";"2001.0";"R$        11.739,22"
"440";"CENTRO DE BIOCIÊNCIAS";"EQUIP. MATERIAL PERMANENTE";"2001.0";"R$         3.748,50"
"440";"CENTRO DE BIOCIÊNCIAS";"MATERIAL DE CONSUMO";"2001.0";"R$         3.128,93"
"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"AUX. FINANCEIRO ESTUDANTE";"2001.0";"R$         4.285,00"
"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"MATERIAL DE CONSUMO";"2001.0";"R$         9.577,32"
"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"SERV. PESSOA JURÍDICA";"2001.0";"R$         5.655,82"
"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA";"MATERIAL DE CONSUMO";"2001.0";"R$         1.104,87"
"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA";"AUX. FINANCEIRO ESTUDANTE";"2001.0";"R$         5.060,00"
"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA";"LOC. MÃO-DE-OBRA";"2001.0";"R$        12.001,77"
"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA";"SERV. PESSOA JURÍDICA";"2001.0";"R$         4.227,39"
"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"AUX. FINANCEIRO ESTUDANTE";"2001.0";"R$         5.988,00"
"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"SERV. PESSOA JURÍDICA";"2001.0";"R$        15.630,34"
"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"LOC. MÃO-DE-OBRA";"2001.0";"R$         5.032,11"
"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"MATERIAL DE CONSUMO";"2001.0";"R$        28.031,28"
"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"EQUIP. MATERIAL PERMANENTE";"2001.0";"R$         4.196,66"
"443";"CENTRO DE CIÊNCIAS SOCIAIS APLICADAS";"AUX. FINANCEIRO ESTUDANTE";"2001.0";"R$        10.671,80"
"443";"CENTRO DE CIÊNCIAS SOCIAIS APLICADAS";"MATERIAL DE CONSUMO";"2001.0";"R$         2.735,67"
"443";"CENTRO DE CIÊNCIAS SOCIAIS APLICADAS";"SERV. PESSOA JURÍDICA";"2001.0";"R$         3.155,60"
"1482";"CENTRO DE  ENSINO SUPERIOR DO SERIDÓ";"MATERIAL DE CONSUMO";"2001.0";"R$           863,74"
"1482";"CENTRO DE  ENSINO SUPERIOR DO SERIDÓ";"AUX. FINANCEIRO ESTUDANTE";"2001.0";"R$           480,00"
"1482";"CENTRO DE  ENSINO SUPERIOR DO SERIDÓ";"SERV. PESSOA JURÍDICA";"2001.0";"R$        10.232,13"
"1482";"CENTRO DE  ENSINO SUPERIOR DO SERIDÓ";"LOC. MÃO-DE-OBRA";"2001.0";"R$         2.905,29"
"1482";"CENTRO DE  ENSINO SUPERIOR DO SERIDÓ";"EQUIP. MATERIAL PERMANENTE";"2001.0";"R$         3.415,00"
"445";"CENTRO DE TECNOLOGIA";"MATERIAL DE CONSUMO";"2001.0";"R$         6.279,92"
"445";"CENTRO DE TECNOLOGIA";"PASSAGENS";"2001.0";"R$           145,38"
"445";"CENTRO DE TECNOLOGIA";"AUX. FINANCEIRO ESTUDANTE";"2001.0";"R$        14.236,00"
"445";"CENTRO DE TECNOLOGIA";"LOC. MÃO-DE-OBRA";"2001.0";"R$         5.460,02"
"445";"CENTRO DE TECNOLOGIA";"SERV. PESSOA JURÍDICA";"2001.0";"R$         3.083,11"
"1477";"CIENTEC";"OBRIGAÇÕES CONTRIBUTIVAS";"2001.0";"R$         2.239,20"
"1477";"CIENTEC";"SERV. PESSOA JURÍDICA";"2001.0";"R$        64.127,50"
"1477";"CIENTEC";"MATERIAL DE CONSUMO";"2001.0";"R$         5.255,90"
"1477";"CIENTEC";"SERV. PESSOA FÍSICA";"2001.0";"R$        11.196,00"
"1453";"COMISSÃO DE ENERGIA ELÉTRICA";"MATERIAL DE CONSUMO";"2001.0";"R$         2.227,20"
"1453";"COMISSÃO DE ENERGIA ELÉTRICA";"PASSAGENS";"2001.0";"R$           791,73"
"1453";"COMISSÃO DE ENERGIA ELÉTRICA";"SERV. PESSOA JURÍDICA";"2001.0";"R$         3.425,00"
"326";"COMPLEXO HOSPITALAR E DE SAÚDE";"MATERIAL DE CONSUMO";"2001.0";"R$           178,60"
"326";"COMPLEXO HOSPITALAR E DE SAÚDE";"SERV. PESSOA JURÍDICA";"2001.0";"R$           773,00"
"326";"COMPLEXO HOSPITALAR E DE SAÚDE";"AUX. FINANCEIRO ESTUDANTE";"2001.0";"R$           120,00"
"326";"COMPLEXO HOSPITALAR E DE SAÚDE";"DIÁRIAS";"2001.0";"R$         2.000,00"
"1450";"CRUTAC";"LOC. MÃO-DE-OBRA";"2001.0";"R$         7.451,96"
"1450";"CRUTAC";"SERV. PESSOA JURÍDICA";"2001.0";"R$        78.836,79"
"1450";"CRUTAC";"MATERIAL DE CONSUMO";"2001.0";"R$         5.176,69"
"1475";"DAS/PROGESP - DIRETORIA DE QUALIDADE DE VIDA, SAÚDE E SEGURANÇA NO TRABALHO";"SERV. PESSOA JURÍDICA";"2001.0";"R$         6.334,50"
"1475";"DAS/PROGESP - DIRETORIA DE QUALIDADE DE VIDA, SAÚDE E SEGURANÇA NO TRABALHO";"MATERIAL DE CONSUMO";"2001.0";"R$        15.246,56"
"1423";"DIRETORIA DE LOGÍSTICA - PROAD";"SERV. PESSOA JURÍDICA";"2001.0";"R$           755,00"
"283";"EDITORA UNIVERSITÁRIA";"SERV. PESSOA JURÍDICA";"2001.0";"R$       112.451,47"
"283";"EDITORA UNIVERSITÁRIA";"LOC. MÃO-DE-OBRA";"2001.0";"R$         3.725,98"
"283";"EDITORA UNIVERSITÁRIA";"MATERIAL DE CONSUMO";"2001.0";"R$        16.200,14"
"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"AUX. FINANCEIRO ESTUDANTE";"2001.0";"R$        29.838,00"
"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"LOC. MÃO-DE-OBRA";"2001.0";"R$        88.849,30"
"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"PASSAGENS";"2001.0";"R$        10.873,61"
"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"CONTRIBUICOES";"2001.0";"R$           900,22"
"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"MATERIAL DE CONSUMO";"2001.0";"R$       264.616,27"
"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"DIÁRIAS";"2001.0";"R$        10.784,76"
"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"SERV. PESSOA JURÍDICA";"2001.0";"R$        68.852,06"
"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"EQUIP. MATERIAL PERMANENTE";"2001.0";"R$        30.945,20"
"284";"ESCOLA DE MÚSICA";"PASSAGENS";"2001.0";"R$        10.000,00"
"284";"ESCOLA DE MÚSICA";"MATERIAL DE CONSUMO";"2001.0";"R$         7.132,80"
"284";"ESCOLA DE MÚSICA";"AUX. FINANCEIRO ESTUDANTE";"2001.0";"R$        26.500,00"
"284";"ESCOLA DE MÚSICA";"SERV. PESSOA JURÍDICA";"2001.0";"R$        62.776,70"
"284";"ESCOLA DE MÚSICA";"OBRIGAÇÕES CONTRIBUTIVAS";"2001.0";"R$           843,66"
"284";"ESCOLA DE MÚSICA";"CONTRIBUICOES";"2001.0";"R$           900,08"
"284";"ESCOLA DE MÚSICA";"EQUIP. MATERIAL PERMANENTE";"2001.0";"R$        23.222,11"
"284";"ESCOLA DE MÚSICA";"DIÁRIAS";"2001.0";"R$         3.100,00"
"284";"ESCOLA DE MÚSICA";"SERV. PESSOA FÍSICA";"2001.0";"R$         4.218,32"
"205";"ESCOLA DE SAÚDE";"MATERIAL DE CONSUMO";"2001.0";"R$         2.637,34"
"205";"ESCOLA DE SAÚDE";"PASSAGENS";"2001.0";"R$         3.000,00"
"205";"ESCOLA DE SAÚDE";"LOC. MÃO-DE-OBRA";"2001.0";"R$         5.118,22"
"205";"ESCOLA DE SAÚDE";"AUX. FINANCEIRO ESTUDANTE";"2001.0";"R$         3.480,00"
"205";"ESCOLA DE SAÚDE";"SERV. PESSOA JURÍDICA";"2001.0";"R$         8.204,00"
"205";"ESCOLA DE SAÚDE";"CONTRIBUICOES";"2001.0";"R$           900,07"
"205";"ESCOLA DE SAÚDE";"EQUIP. MATERIAL PERMANENTE";"2001.0";"R$           410,00"
"205";"ESCOLA DE SAÚDE";"DIÁRIAS";"2001.0";"R$         7.000,00"
"1456";"FUNDO DE EXTENSÃO";"OBRIGAÇÕES CONTRIBUTIVAS";"2001.0";"R$            83,33"
"1456";"FUNDO DE EXTENSÃO";"SERV. PESSOA FÍSICA";"2001.0";"R$         2.316,67"
"1456";"FUNDO DE EXTENSÃO";"SERV. PESSOA JURÍDICA";"2001.0";"R$         5.499,00"
"1456";"FUNDO DE EXTENSÃO";"AUX. FINANCEIRO ESTUDANTE";"2001.0";"R$         5.000,00"
"1468";"FUNDO DE GRADUAÇÃO";"OBRIGAÇÕES CONTRIBUTIVAS";"2001.0";"R$         4.227,60"
