"NOME_CURSO","MUNICIPIO","MODALIDADE_EDUCACAO","TIPO_OFERTA","AREA_CONHECIMENTO","CODIGO_INEP","GRAU_ACADEMICO"
BACHARELADO EM ADMINISTRAÇÃO,RECIFE,Presencial,Semestral,Ciências Humanas,"118418",BACHARELADO
BACHARELADO EM ADMINISTRAÇÃO PÚBLICA - UEDT,RECIFE,A Distância,Semestral,Ciências Humanas,"1152250",BACHARELADO
BACHARELADO EM ADMINISTRAÇÃO - UAST,SERRA TALHADA,Presencial,Semestral,Ciências Humanas,"118472",BACHARELADO
BACHARELADO EM AGROECOLOGIA,RECIFE,Presencial,Semestral,Ciências Agrárias,"1467721",BACHARELADO
BACHARELADO EM AGRONOMIA,RECIFE,Presencial,Semestral,Ciências Agrárias,"14502",BACHARELADO
BACHARELADO EM AGRONOMIA - UAST,SERRA TALHADA,Presencial,Semestral,Ciências Agrárias,"101452",BACHARELADO
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,RECIFE,Presencial,Semestral,Ciências Exatas e da Terra,"1102628",BACHARELADO
BACHARELADO EM CIÊNCIAS BIOLÓGICAS,RECIFE,Presencial,Semestral,Ciências Biológicas,"14506",BACHARELADO
BACHARELADO EM CIÊNCIAS BIOLÓGICAS - UAST,SERRA TALHADA,Presencial,Semestral,Ciências Biológicas,"101834",BACHARELADO
BACHARELADO EM CIÊNCIAS DO CONSUMO,RECIFE,Presencial,Semestral,Ciências Humanas,"1377529",BACHARELADO
BACHARELADO EM CIÊNCIAS ECONÔMICAS,RECIFE,Presencial,Semestral,Ciências Humanas,"14515",BACHARELADO
BACHARELADO EM CIÊNCIAS ECONÔMICAS - UAST,SERRA TALHADA,Presencial,Semestral,Ciências Humanas,"101836",BACHARELADO
BACHARELADO EM CIÊNCIAS SOCIAIS,RECIFE,Presencial,Semestral,Ciências Sociais Aplicadas,"14513",BACHARELADO
BACHARELADO EM ECONOMIA DOMÉSTICA,RECIFE,Presencial,Semestral,Ciências Humanas,"14500",BACHARELADO
BACHARELADO EM ENGENHARIA AGRICOLA E AMBIENTAL,RECIFE,Presencial,Semestral,Ciências Agrárias,"57872",BACHARELADO
BACHARELADO EM ENGENHARIA AMBIENTAL,RECIFE,Presencial,Semestral,Ciências Exatas e da Terra,"1448711",BACHARELADO
BACHARELADO EM ENGENHARIA CIVIL-UACSA,CABO DE SANTO AGOSTINHO,Presencial,Semestral,Engenharias,"1270379",BACHARELADO
BACHARELADO EM ENGENHARIA DA COMPUTAÇÃO - UABJ,BELO JARDIM,Presencial,Semestral,Engenharias,"1516690",BACHARELADO
BACHARELADO EM ENGENHARIA DE CONTROLE E AUTOMAÇÃO - UABJ,BELO JARDIM,Presencial,Semestral,Engenharias,"1516692",BACHARELADO
BACHARELADO EM ENGENHARIA DE MATERIAIS - UACSA,CABO DE SANTO AGOSTINHO,Presencial,Semestral,Ciências Exatas e da Terra,"1270383",BACHARELADO
BACHARELADO EM ENGENHARIA DE PESCA,RECIFE,Presencial,Semestral,Ciências Exatas e da Terra,"14504",BACHARELADO
BACHARELADO EM ENGENHARIA DE PESCA - UAST,SERRA TALHADA,Presencial,Semestral,Ciências Exatas e da Terra,"101832",BACHARELADO
BACHARELADO EM ENGENHARIA ELÉTRICA - UACSA,CABO DE SANTO AGOSTINHO,Presencial,Semestral,Engenharias,"1270381",BACHARELADO
BACHARELADO EM ENGENHARIA ELETRÔNICA - UACSA,CABO DE SANTO AGOSTINHO,Presencial,Semestral,Ciências Exatas e da Terra,"1270380",BACHARELADO
BACHARELADO EM ENGENHARIA FLORESTAL,RECIFE,Presencial,Semestral,Ciências Agrárias,"14503",BACHARELADO
BACHARELADO EM ENGENHARIA HÍDRICA - UABJ,BELO JARDIM,Presencial,Semestral,Engenharias,"1516689",BACHARELADO
BACHARELADO EM ENGENHARIA MECÂNICA - UACSA,CABO DE SANTO AGOSTINHO,Presencial,Semestral,Ciências Exatas e da Terra,"1270382",BACHARELADO
BACHARELADO EM ENGENHARIA QUÍMICA - UABJ,BELO JARDIM,Presencial,Semestral,Engenharias,"1516693",BACHARELADO
