"ANO","PERIODO","CODIGO_COMPONENTE","CODIGO_TURMA","TOTAL","APROVADO","REPROVADO","DISPENSADO","TRANCADO","DESISTENCIA"
2021,2,"01212",SA1,18,13,4,0,0,1
2021,2,"01212",SA3,10,8,2,0,0,0
2021,2,"01217",SA1,16,4,10,0,0,2
2021,2,"01217",SA3,5,1,0,0,1,3
2021,2,"01221",SA1,30,29,0,0,0,1
2021,2,"01221",SA3,10,9,0,0,0,1
2021,2,"01222",SA1,10,9,0,0,0,1
2021,2,"01222",SA3,8,7,0,0,0,1
2021,2,"01319",SA1,14,12,1,0,0,1
2021,2,"01319",SA3,16,15,0,0,0,1
2021,2,"01320",EA1,6,6,0,0,0,0
2021,2,"01323",SA1,21,13,4,0,0,4
2021,2,"01323",SA3,18,14,2,0,0,2
2021,2,"01324",SF3,18,15,0,0,2,1
2021,2,"01324",SZ1,22,12,7,0,1,2
2021,2,"01326",LB1,29,25,1,0,0,3
2021,2,"01326",LB3,8,4,2,0,0,2
2021,2,"01326",SB3,29,19,7,0,3,0
2021,2,"01341",SA1,11,8,2,0,1,0
2021,2,"01341",SA3,12,7,3,0,0,2
2021,2,"01342",SA3,29,20,0,0,3,6
2021,2,"01343",SA1,5,3,2,0,0,0
2021,2,"01350",SA1,11,10,0,0,0,1
2021,2,"01350",SA3,15,12,1,0,1,1
2021,2,"01375",SF1,22,18,2,0,0,2
2021,2,"01375",SZ3,39,21,16,0,2,0
2021,2,"01385",SA1,32,22,8,0,1,1
2021,2,"01385",SA3,15,12,2,0,0,1
2021,2,"01385",SF1,14,4,9,0,0,1
2021,2,"01387",EA3,12,12,0,0,0,0
2021,2,"01396",SZ3,19,19,0,0,0,0
2021,2,"01402",EA3,11,7,2,0,1,1
2021,2,"01402",SF3,19,12,5,0,2,0
2021,2,"01403",SA1,15,10,2,0,1,2
2021,2,"01403",SA3,19,11,5,0,0,3
2021,2,"01404",SZ3,22,16,3,0,3,0
2021,2,"01423",SA1,31,28,3,0,0,0
2021,2,"01423",SA3,15,13,2,0,0,0
2021,2,"01424",SA1,9,9,0,0,0,0
2021,2,"01424",SA3,11,10,1,0,0,0
2021,2,"01425",SA1,26,26,0,0,0,0
2021,2,"01425",SA3,15,13,1,0,0,1
2021,2,"01426",SA1,12,9,2,0,0,1
2021,2,"01426",SA3,17,17,0,0,0,0
2021,2,"01431",SA1,1,1,0,0,0,0
2021,2,"01431",SA3,8,6,2,0,0,0
2021,2,"01433",SA1,26,10,13,0,0,3
2021,2,"01433",SA3,20,18,1,0,0,1
2021,2,"01434",SA1,20,11,4,0,1,4
2021,2,"01434",SA3,17,16,1,0,0,0
2021,2,"01435",SA1,13,8,3,0,1,1
2021,2,"01435",SA3,7,7,0,0,0,0
2021,2,"01439",SA1,12,10,2,0,0,0
