"ANO","PERIODO","CODIGO_COMPONENTE","CODIGO_TURMA","TOTAL","APROVADO","REPROVADO","DISPENSADO","TRANCADO","DESISTENCIA"
2021,1,"01212",SA1,12,11,1,0,0,0
2021,1,"01212",SA3,8,7,1,0,0,0
2021,1,"01217",SA1,39,38,0,0,1,0
2021,1,"01217",SA3,12,12,0,0,0,0
2021,1,"01221",SA1,12,12,0,0,0,0
2021,1,"01221",SA3,16,16,0,0,0,0
2021,1,"01222",SA1,39,38,1,0,0,0
2021,1,"01222",SA3,7,7,0,0,0,0
2021,1,"01256",SA1,5,3,2,0,0,0
2021,1,"01319",SA1,11,11,0,0,0,0
2021,1,"01319",SA3,12,11,1,0,0,0
2021,1,"01320",EA3,21,19,2,0,0,0
2021,1,"01322",SA1,13,9,4,0,0,0
2021,1,"01323",SA1,38,23,15,0,0,0
2021,1,"01323",SA3,16,5,11,0,0,0
2021,1,"01324",SF1,16,13,3,0,0,0
2021,1,"01324",SZ3,22,21,1,0,0,0
2021,1,"01326",LB1,30,23,6,0,1,0
2021,1,"01326",LB3,13,9,3,0,1,0
2021,1,"01326",SB1,15,12,3,0,0,0
2021,1,"01331",SA3,1,1,0,0,0,0
2021,1,"01341",SA1,8,4,4,0,0,0
2021,1,"01341",SA3,16,14,2,0,0,0
2021,1,"01342",SA1,15,11,4,0,0,0
2021,1,"01343",SA3,17,14,3,0,0,0
2021,1,"01350",SA1,8,6,1,0,1,0
2021,1,"01350",SA3,10,6,2,0,2,0
2021,1,"01375",SF3,20,18,2,0,0,0
2021,1,"01375",SZ1,22,17,3,0,2,0
2021,1,"01385",SA1,7,6,1,0,0,0
2021,1,"01385",SA3,21,20,1,0,0,0
2021,1,"01385",SF3,16,8,8,0,0,0
2021,1,"01387",EA1,7,7,0,0,0,0
2021,1,"01396",SZ1,26,25,1,0,0,0
2021,1,"01402",EA1,6,5,1,0,0,0
2021,1,"01402",SF1,15,13,2,0,0,0
2021,1,"01403",SA1,11,7,4,0,0,0
2021,1,"01403",SA3,9,5,4,0,0,0
2021,1,"01404",SZ1,20,17,3,0,0,0
2021,1,"01421",SA2,1,1,0,0,0,0
2021,1,"01423",SA1,10,8,2,0,0,0
2021,1,"01423",SA3,21,20,1,0,0,0
2021,1,"01424",SA1,13,12,0,0,1,0
2021,1,"01424",SA3,9,9,0,0,0,0
2021,1,"01425",SA1,8,7,1,0,0,0
2021,1,"01425",SA3,20,17,3,0,0,0
2021,1,"01426",SA1,8,7,1,0,0,0
2021,1,"01426",SA3,13,13,0,0,0,0
2021,1,"01431",SA1,7,7,0,0,0,0
2021,1,"01431",SA3,10,7,3,0,0,0
2021,1,"01433",SA1,19,16,3,0,0,0
2021,1,"01433",SA3,20,19,1,0,0,0
2021,1,"01434",SA1,9,9,0,0,0,0
2021,1,"01434",SA3,9,7,2,0,0,0
2021,1,"01435",SA1,17,15,2,0,0,0
2021,1,"01435",SA3,7,6,1,0,0,0
2021,1,"01439",SA1,18,15,3,0,0,0
2021,1,"01439",SA3,14,14,0,0,0,0
2021,1,"01451",SA1,6,5,1,0,0,0
2021,1,"01451",SA3,9,8,1,0,0,0
2021,1,"01452",SA1,38,37,1,0,0,0
2021,1,"01452",SA3,14,11,3,0,0,0
2021,1,"01453",GS1,29,24,4,0,1,0
2021,1,"01468",SA1,39,22,14,3,0,0
