"NOME_CURSO","CODIGO_CURRICULO","SEMESTRE_CONCLUSAO_MAX","SEMESTRE_CONCLUSAO_IDEAL","SEMESTRE_CONCLUSAO_MIN","ANO_ENTRADA_VIGOR","PERIODO_ENTRADA_VIGOR","CODIGO_COMPONENTE","NOME_COMPONENTE","SEMESTRE_OFERTA_COMPONENTE","TIPO_VINCULO"
BACHARELADO EM ADMINISTRAÇÃO,BAD01,8,8,14,2009,1,"04255",ADMINISTRAÇÃO DE INSTITUIÇÕES DE SAÚDE,0,OPTATIVO
BACHARELADO EM ADMINISTRAÇÃO,BAD01,8,8,14,2009,1,"04167",ADMINISTRAÇÃO E PLANEJAMENTO RURAL,0,OPTATIVO
BACHARELADO EM ADMINISTRAÇÃO,BAD01,8,8,14,2009,1,"04197",AGRONEGÓCIOS,0,OPTATIVO
BACHARELADO EM ADMINISTRAÇÃO,BAD01,8,8,14,2009,1,"04202",ANÁLISE ORGANIZACIONAL DE PROCESSOS,0,OPTATIVO
BACHARELADO EM ADMINISTRAÇÃO,BAD01,8,8,14,2009,1,"04243",CASOS EM ADMINISTRAÇÃO,0,OPTATIVO
BACHARELADO EM ADMINISTRAÇÃO,BAD01,8,8,14,2009,1,"04242",CONSULTORIA ORGANIZACIONAL,0,OPTATIVO
BACHARELADO EM ADMINISTRAÇÃO,BAD01,8,8,14,2009,1,"05145",EDUCAÇÃO DAS RELAÇÕES ÉTNICO-RACIAIS,0,OPTATIVO
BACHARELADO EM ADMINISTRAÇÃO,BAD01,8,8,14,2009,1,"04245",ELABORAÇÃO E GESTÃO DE PROJETOS EM ADMINISTRAÇÃO,0,OPTATIVO
BACHARELADO EM ADMINISTRAÇÃO,BAD01,8,8,14,2009,1,"04253",FUNDAMENTOS DO COMPORTAMENTO DO CONSUMIDOR,0,OPTATIVO
BACHARELADO EM ADMINISTRAÇÃO,BAD01,8,8,14,2009,1,"04227",GESTÃO DA INOVAÇÃO,0,OPTATIVO
